RABDN,RPRU,RWTB,RFTSE,covidr
0.002952567,0.003013735,-0.000324149,0.000197644,2
-0.015254626,-0.016001985,-0.015888457,-0.011947275,2
0.017781574,0.011856988,0.01383855,0.010012662,2
-0.006332253,0.002678609,0.004549886,-0.000247871,2
0.005259319,0.005674248,0.019087674,0.004779105,2
-0.003742458,0.006308044,-0.002857143,-0.003091501,2
-0.008931309,-0.014515095,0.015600127,-0.00040684,2
0.025952427,0.004353604,0.004075235,-0.001033168,2
0.009198522,0.000661581,-0.006556353,0.000418823,2
-0.006200971,-0.003326378,0.024512885,0.008237678,2
0.002556007,0.011359867,-0.005214724,0.003889578,2
0.016084283,-0.016520456,-0.015109467,-0.006140968,2
-0.001808051,-0.009746711,0.012210394,0.000663897,2
-0.008280349,0.001017237,-0.000927931,0.001157159,2
0.014537051,-0.003385008,0.034055728,0.002525003,2
-0.00933206,-0.012587462,-0.002694611,-0.001984471,2
0.005785492,0.014813232,-0.014710297,0.001012567,2
0.021902655,0.010863539,0.010054845,0.006472748,2
0.000360828,-0.002686698,-0.018099548,0.001768979,2
0.00631222,0.011109874,0.002457757,0.003610068,2
-0.003154235,0.00166607,0.008274594,0.00173859,2
-0.011901765,-0.011306308,0.019148936,-0.004386948,2
-0.033296943,-0.028244896,-0.045034298,-0.019006267,2
0.00696405,0.007962171,0.006870706,0.006386917,2
0.005831776,-0.014762347,0.012406948,0.003925072,2
-0.008696945,-0.005229832,-0.004289216,-0.002249644,2
0.008060888,0.010862245,0,0.005076293,2
0.008293971,0.004849813,-0.016615385,0.003670902,2
0.001106603,-0.02413916,-0.03097622,-0.008842402,2
-0.016138541,0.007064376,0.006780756,0.002061369,2
-0.012059022,-0.036140471,0.001282874,-0.007065911,2
0.01368461,0.013833174,0.02178091,0.012460444,2
-0.00220635,-0.000712658,0.004075235,-0.000265257,2
0.013867026,0.012212969,0.01155167,0.00584563,2
-0.010091675,-0.016329676,-0.005555556,-0.008936609,2
0.018559319,0.005416698,-0.00744879,0.007061097,2
-0.011438627,-0.036614325,-0.035959975,-0.016831165,2
0.024217475,0.027568517,0.017191048,0.0129746,2
-0.001774269,-0.001806583,-0.03125,0.00049706,2
0.007073418,-0.012714028,-0.018762344,-9.82E-05,2
-0.013002918,-0.01103699,-0.015095606,-0.00470615,2
-0.0109846,0.016367216,-0.021117166,-0.011164558,2
-0.00036899,-0.003291863,0.017397356,-0.000560466,2
-0.036654239,-0.040399669,-0.029753762,-0.023358718,2
0.020499655,0.008418521,0.00070497,0.0053679,2
0.032553599,0.037951543,0.06093695,0.01702482,2
0.003163636,-0.008413398,0.005312085,-0.00428391,2
0.007793526,0.006274014,0.001651255,0.008507096,2
-0.001762463,0.001462132,0.017804154,-0.000305937,2
-0.004576082,-0.021952917,-0.017168772,-0.00417768,2
0.000361978,0.004114781,0.012195122,0.002937359,2
0.013750181,0.024217775,0,0.008806222,2
-0.013206739,-0.013093573,-0.008140671,-0.006515578,2
0.014070752,0.005159078,0.012147078,0.007027573,2
-0.004494382,0.010636685,-0.001946156,0.003389007,2
0.028951234,0.010157158,0.004224894,0.002552873,2
0.013545983,-0.001797132,0.046601942,-0.000481481,2
-0.001683502,0.026626096,-0.011131725,0.000353911,2
-0.002684379,-0.002449346,-0.001563477,0.001312658,2
-0.023154698,0.020027895,0.001565925,0.004029556,2
0.009608591,0.026179539,-0.007817386,0.008252991,2
-0.015990203,0.005704728,-0.012921525,-0.003727075,2
-0.011414145,0.013684073,-0.003831418,0.00354222,2
